filename,ACI,ADI,AEI,BIO,Class,comment
LEEC05__0__20161218_081400_aa.wav,579.098873259528,1.1479005,0.028561,7.2418193599315,vire_chiv,group 1
LEEC05__0__20161223_064400_aa.wav,1039.35280600217,1.064158,0.1454155,7.28353152870374,vire_chiv,group 3
LEEC05__0__20170104_072900_br.wav,1808.27111702953,1.1403865,0.0538095,6.98407116936981,vire_chiv,group 4
LEEC05__0__20170105_071600_br.wav,429.168859249963,1.105853,0.1148165,8.74180803830149,vire_chiv,group 1
LEEC05__0__20170106_054600_br.wav,474.305516445669,1.1047685,0.106166,7.08085054846247,vire_chiv,group 1
LEEC05__0__20170107_051400_br.wav,541.366752696145,1.129871,0.075724,7.70512928849581,vire_chiv,group 1
LEEC05__0__20170108_054600_br.wav,769.982436963243,1.1454485,0.03792,7.95579419439138,vire_chiv,group 2
LEEC05__0__20170109_064400_br.wav,1343.4015383647,1.1495205,0.0219225,7.5675231031976,vire_chiv,group 4
LEEC05__0__20170109_072900_br.wav,847.508131149862,1.1495815,0.021262,6.839232183262,vire_chiv,group 2
LEEC05__0__20170110_072900_br.wav,889.312258140814,1.151264,0.0028725,5.08788549454166,vire_chiv,group 3
LEEC05__0__20170119_054600_br.wav,1109.5472424152,1.146816,0.0340205,7.49150850608182,vire_chiv,group 3
LEEC06__0__20161019_080100_ma.wav,1473.71753661524,1.1472145,0.0322565,6.88727911275733,vire_chiv,group 4
LEEC06__0__20161023_055900_ma.wav,3109.88380032477,0.7936855,0.29069,11.6220520086466,vire_chiv,group 5
LEEC06__0__20161023_081400_ma.wav,3890.32859929832,1.08613,0.128189,7.21660332249401,vire_chiv,group 5
LEEC06__0__20161024_064400_ma.wav,5225.34023963797,1.111914,0.1088405,7.69803627342308,vire_chiv,group 5
LEEC06__0__20161029_051400_ma.wav,1060.45854870712,1.1512865,0.0013275,4.70423038940759,vire_chiv,group 3
LEEC06__0__20161029_080100_ma.wav,1337.48286075959,1.1512455,0.003859,5.90825811797905,vire_chiv,group 4
LEEC06__0__20161031_064400_ma.wav,1094.44794420389,0.598614,0.3619705,10.8281834521834,vire_chiv,group 3
LEEC06__0__20161101_063100_ma.wav,1335.32966636199,1.1481005,0.0315725,6.92041401190033,vire_chiv,group 4
LEEC06__0__20161102_051400_ma.wav,974.051485602764,1.1432735,0.045991,7.34536286662545,vire_chiv,group 3
LEEC06__0__20161103_050100_ma.wav,480.632859079137,1.1204695,0.0882825,7.57646329590054,vire_chiv,group 1
LEEC06__0__20161103_051400_ma.wav,411.655944698869,1.118447,0.0870975,7.43484828972363,vire_chiv,group 1
LEEC06__0__20161103_072900_ma.wav,1002.74296656525,1.06614,0.1463155,7.73544927794907,vire_chiv,group 3
LEEC06__0__20161103_080100_ma.wav,3683.72862466236,1.1421685,0.047215,7.15804341907694,vire_chiv,group 5
LEEC06__0__20161103_081400_ma.wav,823.665431517193,1.11024,0.106645,8.36809555054875,vire_chiv,group 2
LEEC06__0__20161106_080100_ma.wav,723.50834681083,1.151281,0.0016,5.54973015001299,vire_chiv,group 2
LEEC06__0__20161107_050100_ma.wav,2003.85958560323,1.119202,0.089791,7.75617845216459,vire_chiv,group 5
LEEC06__0__20161107_064400_ma.wav,1113.31496415622,0.8363245,0.271274,9.95551032759481,vire_chiv,group 3
LEEC06__0__20161107_072900_ma.wav,841.469878739154,1.1467545,0.0363515,8.90168958327098,vire_chiv,group 2
LEEC06__0__20161107_080100_ma.wav,659.740848704515,1.151264,0.0028515,6.52687570625591,vire_chiv,group 1
LEEC06__0__20161109_071600_ma.wav,14306.2761725723,1.079121,0.1462205,8.38743227874664,vire_chiv,group 5
LEEC06__0__20161110_051400_ma.wav,997.08066180138,1.1434975,0.043166,7.25238469864676,vire_chiv,group 3
LEEC06__0__20161110_054600_ma.wav,8006.18480826984,0.724142,0.3346155,8.01800198618785,vire_chiv,group 5
LEEC06__0__20161110_071600_ma.wav,862.624560225325,1.1148135,0.103796,8.77174623517036,vire_chiv,group 2
LEEC06__0__20161110_080100_ma.wav,792.895354966581,1.1082575,0.1032255,7.74960001345829,vire_chiv,group 2
LEEC06__0__20161112_063100_ma.wav,1014.97994474493,1.1508765,0.0103365,6.09758258012684,vire_chiv,group 3
LEEC06__0__20161113_055900_ma.wav,4288.96693407549,1.1286265,0.081321,6.06624837910246,vire_chiv,group 5
LEEC06__0__20161115_050100_ma.wav,874.188080969411,1.146411,0.0344275,6.8391035335023,vire_chiv,group 2
LEEC06__0__20161116_050100_ma.wav,752.25200163776,1.0130705,0.1837395,8.4988654772049,vire_chiv,group 2
LEEC06__0__20161116_081400_ma.wav,16774.8464148041,1.1191695,0.0978285,8.06750613100635,vire_chiv,group 5
LEEC06__0__20161117_072900_ma.wav,1201.13056224651,1.1195425,0.0986475,8.98718213526476,vire_chiv,group 4
LEEC06__0__20161118_064400_ma.wav,973.941197603454,1.1511095,0.006818,6.35239964073947,vire_chiv,group 3
LEEC06__0__20161120_051400_aa.wav,2434.58935992933,0.9449955,0.2438975,8.38741853708583,vire_chiv,group 5
LEEC06__0__20161120_064400_aa.wav,1262.21079675801,0.983701,0.2043695,8.93797869081819,vire_chiv,group 4
LEEC06__0__20161120_071600_aa.wav,1477.04399710076,1.0565515,0.1641295,8.42967944849783,vire_chiv,group 4
LEEC06__0__20161120_072900_aa.wav,1668.21367392004,1.116828,0.1004985,8.27447912907594,vire_chiv,group 4
LEEC06__0__20161121_051400_aa.wav,2425.69799881134,1.0561195,0.161595,8.29082381069731,vire_chiv,group 5
LEEC06__0__20161121_072900_aa.wav,614.830628810208,1.149801,0.018881,6.09773151782046,vire_chiv,group 1
LEEC06__0__20161123_064400_aa.wav,1612.11110837413,1.0094755,0.1919875,7.95874583335292,vire_chiv,group 4
LEEC06__0__20161124_071600_aa.wav,720.008473546149,1.0049035,0.1803505,7.76787127325339,vire_chiv,group 2
LEEC06__0__20161126_054600_aa.wav,591.79334141068,1.1381045,0.055402,7.48648740624735,vire_chiv,group 1
LEEC06__0__20161128_054600_aa.wav,2120.14803791335,1.0055465,0.188739,8.276051817259,vire_chiv,group 5
LEEC06__0__20161129_063100_aa.wav,754.854608812208,1.150192,0.016729,6.65060945328261,vire_chiv,group 2
LEEC06__0__20161129_081400_aa.wav,524.644555711565,1.090354,0.1271295,7.67070582037298,vire_chiv,group 1
LEEC06__0__20161130_080100_aa.wav,780.224119790906,1.151003,0.0086095,6.96332977753833,vire_chiv,group 2
LEEC06__0__20161130_081400_aa.wav,844.972010934948,1.144198,0.0443415,7.28417268751307,vire_chiv,group 2
LEEC06__0__20161202_063100_aa.wav,1050.01102751915,1.1511845,0.005145,6.1245700762532,vire_chiv,group 3
LEEC06__0__20161202_071600_aa.wav,582.992601441717,1.151198,0.0049285,6.78197035471652,vire_chiv,group 1
LEEC06__0__20161202_080100_aa.wav,741.813823177685,1.104013,0.1131695,7.01345042045379,vire_chiv,group 2
LEEC06__0__20161203_064400_aa.wav,1241.07486992196,1.059573,0.151653,8.19685649579703,vire_chiv,group 4
LEEC06__0__20161206_054600_aa.wav,728.342897781937,0.96393,0.22549,8.68527129626972,vire_chiv,group 2
LEEC06__0__20161207_051400_aa.wav,622.19971375502,0.7345505,0.311412,11.2603593582887,vire_chiv,group 1
LEEC06__0__20161211_054600_aa.wav,1079.20785236761,1.148082,0.028133,7.34889807956424,vire_chiv,group 3
LEEC06__0__20161211_080100_aa.wav,1258.40410913296,1.14882,0.027494,8.04417420693503,vire_chiv,group 4
