filename,Class,ACI,ADI,AEI,BIO,RUGOSITY,MEAN_PSD,STD_PSD,MSP,SPL,SNR,H,Hf,Ht,M,RMS,ROUGHNESS,NPEAKS,BGN,ZCR,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,AR,habitat,low,time,high,date,hour,loc
LEEC26__0__20170104_063100_br.wav,furn_rufu,11471.6530348369,1.0857705,0.1391385,6.83028965483939,0.111277088720409,5332.70966860831,16455.9041320503,2.13308386744333e-06,37.2694793981383,0.324060569739348,0.757179743106366,0.765789791808589,0.98875664210424,0.552551260902095,21699.4653470108,0.343801163659062,117,82.3522918499305,0.149174230963187,105.34962985343,-8.50688181043733,-27.8078825215538,-2.71022947958422,17.2902624679776,2.47737941154026,-12.4154683559213,7.54760450715108,-3.54263594328755,-9.18385862903301,12.2837980417309,0.235716486195377,0.380050505050505,2,1662.1,5.754308169999998,4136.7,20170104,63100,LEEC26
LEEC26__0__20170116_072900_br.wav,furn_rufu,5098.16716816291,0.9374505,0.2375185,7.41161363317219,0.111349310888462,6688.12087128538,36713.2435718236,2.67524834851415e-06,38.2530411330326,0.18217188732456,0.651855987811439,0.659064607879729,0.989062346874489,0.646165295342556,24502.0421676076,0.101504975175006,89,82.9885787233027,0.130396075581395,97.2121645350398,-9.63895203910487,-17.3965480947718,-3.38882161232848,20.5664689373662,8.08083051573132,-27.1376681156577,-0.830234657673059,23.9062526179163,-10.9360270649618,-6.5625339451714,5.88000238272006,0.496326905417814,2,2578.0,2.493841421999999,3199.6,20170116,72900,LEEC26
LEEC26__0__20170123_064400_br.wav,furn_rufu,7666.36176229296,0.595381,0.3665815,8.86403354057844,0.0333302904650309,564.22329154362,2797.99377065776,2.25689316617448e-07,27.5145101017823,0.201652804756239,0.582181708068703,0.595448649210087,0.97771942020696,0.132602855623391,7141.90683307896,0.105695983069442,120,70.6167617706212,0.131161897078804,65.612870490068,5.82807877889328,-32.7579776782142,0.224926398358438,29.4860124350286,0.295632260096663,-24.7914586356556,1.44515649746824,15.5416556568117,-3.38265047923943,-6.68411595446964,3.86814792251753,0.0032139577594123,2,2368.7,4.272377208000002,3316.1,20170123,64400,LEEC26
LEEC26__0__20170127_064400_br.wav,furn_rufu,4601.07057265222,0.985753,0.205782,7.95898992760241,0.102017078889084,5695.51736148788,25580.2094643847,2.27820694459515e-06,37.5553318004534,0.222653273008485,0.67201194914872,0.679762428704675,0.988598252523718,0.578893011664623,22467.3635659771,0.188080166248556,101,83.0380350794852,0.131239224137931,96.6264969437418,-8.1886132741494,-21.8003390943243,-2.78001905865664,21.9717542045308,6.9380495343962,-25.5719779669973,0.768189806097698,19.1401411252892,-9.57379763638957,-3.2795710913219,4.54632835492588,0.419191919191919,2,2379.5,2.1036577419999993,3384.2,20170127,64400,LEEC26
LEEC33__0__20161121_071600_aa.wav,furn_rufu,17365.3684709615,1.1356505,0.0694715,4.63601131335026,0.0785355048585347,4237.80038595238,12633.1328142498,1.69512015438095e-06,36.2714049618764,0.335451265197835,0.739878137380298,0.748428688152491,0.988575330011334,0.481470685300424,19280.9704677135,0.088277410188154,111,81.1914270413285,0.118899664750958,106.506108375013,1.41003186335899,-27.9377532015273,-16.5042809971173,2.42957230941434,3.21286864233788,-10.9872424135292,5.90541324387585,11.9031327559361,-6.26275627013741,-5.7403023746997,5.85887918750961,0.292871900826446,1,912.7,7.573888762999999,3577.6,20161121,71600,LEEC33
LEEC33__0__20161206_081400_aa.wav,furn_rufu,6450.15602078753,0.817905,0.3050335,7.9134833504061,0.0718648390482801,2200.80798055835,10120.3075245389,8.80323192223342e-07,33.4258215222086,0.217464536055056,0.622191631390949,0.633266961216139,0.982510804283993,0.30031668984516,14141.4340178219,0.206444721861315,122,77.9663859994332,0.144996363025962,77.9121677771107,1.15235531039996,-28.8348891176453,7.13627210792171,26.3956713138533,-10.0430346481848,-23.0102099473323,13.7170304666637,12.9097025812525,-12.4753162461815,-2.97475145753138,6.06247678343239,0.0385674931129477,1,2656.6,3.2414555609999987,3675.0,20161206,81400,LEEC33
LEEC33__0__20161216_054600_aa.wav,furn_rufu,16227.0534380589,0.8562475,0.2740605,7.94511175463408,0.0318924284591038,674.81736664825,2327.38723100027,2.699269466593e-07,28.2918625077312,0.289946321634766,0.648550579307347,0.658145311643355,0.985421559393852,0.174932431205438,7784.12756429221,0.106059248531036,65,72.5382730239559,0.118236693690518,75.2192524507284,10.7367874065644,-38.8449516221159,-16.1648743436686,21.2138727945367,10.6121738394348,-10.2515462235887,2.98210314887796,6.25430398236556,-9.60629614477544,-4.23878346529325,9.94229106221797,0.0216942148760331,1,1543.5,8.231704206000003,3276.0,20161216,54600,LEEC33
LEEC33__0__20161219_064400_aa.wav,furn_rufu,7855.38935889596,0.9256205,0.2551175,7.71303261610752,0.0974816949309242,4120.62742647713,16932.6278324614,1.64825097059085e-06,36.1496334882697,0.243354278334608,0.673318857670885,0.684188051961265,0.984113732680331,0.425144658284914,19214.7299077786,0.262531904919008,116,80.7061762772852,0.143572268821604,87.5687460113615,-3.22963607538478,-26.7040434574541,3.85996105642785,26.1123099087131,-5.10486994993248,-24.1370454127815,11.0955930601065,12.1783940955778,-10.9828317360442,0.166388165569195,2.28159847413782,0.0946969696969697,1,2459.8,3.546796689000004,3769.1,20161219,64400,LEEC33
LEEC33__0__20170103_050100_br.wav,furn_rufu,12150.4285023317,1.151264,0.002499,4.11211721795262,0.147742607440465,6827.24510333184,13895.7614500638,2.73089804133273e-06,38.3424549463632,0.491318531040304,0.882524745988704,0.891320726649397,0.990131520116492,0.650041375295234,24437.0395188001,0.19190629485197,130,83.0643559154008,0.175643345894486,122.095842089396,-11.6838643365413,-22.8799507851102,-2.36938715661659,-4.86864176055253,-1.20750964874515,-2.0811856627485,9.60179442265549,-3.27735319404222,1.86244454983688,-1.4453710958276,-2.66749231912275,0.561581726354454,2,991.0,7.315578606999999,14865.0,20170103,50100,LEEC33
LEEC36__0__20161130_081400_aa.wav,furn_rufu,16734.0540161582,0.921738,0.254563,7.91462788496157,0.0777593914326389,3467.01171756231,13139.0335727623,1.38680468702492e-06,35.3995530945682,0.263871136211232,0.666657197720618,0.675124385643155,0.987458329009297,0.419693830116956,17419.1643955466,0.0964735409205848,105,80.0863724332643,0.130739025372533,89.7145668411541,-1.27317462320523,-30.1261892775863,-4.26962387659193,25.599019399381,6.72837945231001,-21.4577277675596,-0.192515216114768,10.6403744713121,-6.27314115483692,0.464434317648816,6.45649810214463,0.22004132231405,1,2054.7,7.206538818,3608.2,20161130,81400,LEEC36
